Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11080132310.4451,14289975733.7475,16630409946.3194,18511801827.4972,18890016968.3984,18885765415.8654,18572571195.5786,16826000216.6437,17751891426.8509,17143221811.4464,17731939790.9716,18585819842.831,13621070038.579,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Albania,ALB,1614375157.66698,819582623.082275,441774487.757731,1020237179.34391,1632482877.25826,2132766641.32694,2897397564.93471,2025024379.93284,2343496684.44934,2950532368.78671,3209365254.07746,3631640057.60978,3991381781.24409,5165500600.83169,6571619027.00355,7341407675.19719,8208357748.01547,9593087198.1755,11289217439.7528,10297867629.9399,10224245606.389,10906001758.6098,10216293757.2316,10878878367.4931,11106516465.2136,9442334426.19139,9972441813.86917,10717903287.8611,12442708487.5931,12449979123.8861,12266743273.595,14797555219.3842,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Algeria,DZA,48400205176.271,35425860299.2761,38521776003.9985,39664629250.1424,33377060228.3684,32046111086.2377,34947253178.8965,36975513772.9517,38593316180.9823,37150109037.8389,39969924620.2215,41968599079.6174,42752422136.7965,50383016546.9952,61413738314.1801,69201537821.746,78821263687.4131,95847938917.1649,122343503123.494,105062588527.001,124896109895.927,150591919490.774,161152271436.813,161726351236.125,163368109451.855,132830106034.379,133028752187.12,137393386936.339,134855486664.369,134133596932.454,118467610587.324,125758796095.107,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Angola,AGO,6654135061.69319,8375021832.30031,950212792.225714,1157568942.78547,208452954.278407,2518834106.20542,2998622788.93286,3950231711.83568,3887560641.27528,2606974330.30121,3261792173.73377,4259081638.14712,9587531694.05095,11841538648.7324,14498522980.3379,19664495927.6405,27561990009.6016,30719156009.2045,32734520130.9166,41922068582.494,43671933104.5708,59665657182.0996,72141626387.2182,83346229610.4108,94702895519.7016,66790173500.1792,35196052952.4937,45362409567.1982,47156217466.9987,42988475833.8169,36803520680.4863,42541367192.0476,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Argentina,ARG,120635727962.181,166898435446.466,204024866060.271,210926349278.954,227106385135.324,223528398630.206,236983938646.198,253376657567.304,257718078198.383,240031171641.903,238399675554.473,224968752618.712,75590438007.3152,103448403705.699,124005526472.631,148938243056.375,193236491249.098,243687486346.74,305021774544.565,278180375836.102,353652788044.292,442536187080.218,454254301661.785,460395962371.796,438031034121.621,507308748132.43,473643779848.176,554002069337.642,439587197173.017,370477828048.014,327236387986.867,411983137959.54,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Armenia,ARM,..,..,..,..,..,1292061887.12231,1399161038.8252,1475020602.23717,1666894458.81012,1613960366.73582,1662849056.88797,1846903282.95419,2062124781.6973,2467615973.33765,3203971132.14316,4419905086.37887,5853474294.20565,8521312506.34816,10947116645.0228,7921367056.47125,8398953353.54987,9080773851.05582,9592549254.72696,10304677648.1052,10623316108.1698,9466501710.46717,9300728051.92981,10354023834.2678,10947568529.8212,11908830641.6584,10711840239.6961,11228790133.6548,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Aruba,ABW,683773980.829681,780780694.188568,856656339.804028,960989787.715297,1106737203.07309,1162941066.03208,1211278786.74346,1336018162.74569,1474846207.03778,1505350759.72449,1657709353.36425,1644062996.16331,1622332081.4401,1777022032.95466,1942929574.70071,1639719957.52302,2105403812.15326,2012381296.21543,2431892488.23828,2208167313.42423,2058374498.59793,2109879864.34631,2227468288.83999,2275254390.26909,2394184991.053,2511924645.18289,2518955855.90613,2578785125.25219,2634165034.17004,2842228351.01809,2235240728.52526,2662868129.82011,..,..
